,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,Year,Home_rank,Away_rank
17361,1993-01-01,Ghana,Mali,1,1,Friendly,Libreville,Gabon,True,1993,[48],[74]
17362,1993-01-02,Gabon,Burkina Faso,1,1,Friendly,Libreville,Gabon,False,1993,[64],[113]
17363,1993-01-02,Kuwait,Lebanon,2,0,Friendly,Kuwait City,Kuwait,False,1993,[60],[108]
17364,1993-01-03,Burkina Faso,Mali,1,0,Friendly,Libreville,Gabon,True,1993,[113],[74]
17365,1993-01-03,Gabon,Ghana,2,3,Friendly,Libreville,Gabon,False,1993,[64],[48]
17366,1993-01-08,Uganda,Tanzania,3,1,Friendly,Kampala,Uganda,False,1993,[104],[91]
17367,1993-01-09,Sierra Leone,Togo,0,0,African Cup of Nations qualification,Conakry,Guinea,True,1993,[86],[114]
17368,1993-01-10,Angola,Zimbabwe,1,1,FIFA World Cup qualification,Luanda,Angola,False,1993,[93],[50]
17369,1993-01-10,Botswana,South Africa,0,2,Friendly,Gaborone,Botswana,False,1993,[135],[109]
17370,1993-01-10,DR Congo,Cameroon,1,2,FIFA World Cup qualification,Kinshasa,Zaïre,False,1993,[],[24]
17371,1993-01-10,Senegal,Algeria,1,2,African Cup of Nations qualification,Dakar,Senegal,False,1993,[58],[34]
17372,1993-01-10,Tunisia,Bulgaria,3,0,Friendly,Béja,Tunisia,False,1993,[31],[37]
17373,1993-01-10,Uganda,Tanzania,2,0,Friendly,Kampala,Uganda,False,1993,[104],[91]
17374,1993-01-16,South Africa,Nigeria,0,0,FIFA World Cup qualification,Johannesburg,South Africa,False,1993,[109],[17]
17375,1993-01-16,Tanzania,Zambia,1,3,FIFA World Cup qualification,Mwanza,Tanzania,False,1993,[91],[25]
17376,1993-01-17,Benin,Tunisia,0,5,FIFA World Cup qualification,Cotonou,Benin,False,1993,[124],[31]
17377,1993-01-17,Botswana,Ivory Coast,0,0,FIFA World Cup qualification,Gaborone,Botswana,False,1993,[135],[]
17378,1993-01-17,Burundi,Algeria,0,0,FIFA World Cup qualification,Bujumbura,Burundi,False,1993,[96],[34]
17379,1993-01-17,Ethiopia,Morocco,0,1,FIFA World Cup qualification,Addis Abeba,Ethiopia,False,1993,[95],[33]
17380,1993-01-17,Mozambique,Gabon,1,1,FIFA World Cup qualification,Maputo,Mozambique,False,1993,[100],[64]
17381,1993-01-17,Namibia,Madagascar,0,1,FIFA World Cup qualification,Windhoek,Namibia,False,1993,[155],[81]
17382,1993-01-17,Eswatini,Cameroon,0,0,FIFA World Cup qualification,Mbabane,Eswatini,False,1993,[],[24]
17383,1993-01-17,Togo,Zimbabwe,1,2,FIFA World Cup qualification,Lomé,Togo,False,1993,[114],[50]
17384,1993-01-18,Angola,Egypt,0,0,FIFA World Cup qualification,Luanda,Angola,False,1993,[93],[26]
17385,1993-01-19,North Korea,Bolivia,2,1,Nehru Cup,Madras,India,True,1993,[],[59]
17386,1993-01-20,Guinea-Bissau,Guinea,2,1,Friendly,Bissau,Guinea-Bissau,False,1993,[133],[65]
17387,1993-01-20,India,Finland,0,0,Nehru Cup,Madras,India,False,1993,[129],[47]
17388,1993-01-20,Italy,Mexico,2,0,Friendly,Florence,Italy,False,1993,[2],[14]
17389,1993-01-22,Cameroon,Finland,0,0,Nehru Cup,Madras,India,True,1993,[24],[47]
17390,1993-01-23,Ghana,Niger,4,0,Friendly,Kumasi,Ghana,False,1993,[48],[77]
17391,1993-01-23,Guinea-Bissau,Algeria,1,4,African Cup of Nations qualification,Bissau,Guinea-Bissau,False,1993,[133],[34]
17392,1993-01-23,Venezuela,Peru,0,0,Friendly,Puerto Ordaz,Venezuela,False,1993,[94],[70]
17393,1993-01-24,India,Cameroon,1,1,Nehru Cup,Madras,India,False,1993,[129],[24]
17394,1993-01-24,Malta,Portugal,0,1,FIFA World Cup qualification,Attard,Malta,False,1993,[82],[23]
17395,1993-01-24,Togo,Senegal,1,1,African Cup of Nations qualification,Lomé,Togo,False,1993,[114],[58]
17396,1993-01-25,Bolivia,Russia,1,2,Nehru Cup,Madras,India,True,1993,[59],[7]
17397,1993-01-26,India,Finland,0,2,Nehru Cup,Madras,India,False,1993,[129],[47]
17398,1993-01-27,Ecuador,Belarus,1,1,Friendly,Guayaquil,Ecuador,False,1993,[35],[130]
17399,1993-01-27,Peru,Honduras,1,1,Friendly,Lima,Peru,False,1993,[70],[41]
17400,1993-01-27,Spain,Mexico,1,1,Friendly,Las Palmas,Spain,False,1993,[13],[14]
17401,1993-01-28,Cameroon,Finland,2,0,Nehru Cup,Madras,India,True,1993,[24],[47]
17402,1993-01-29,Bolivia,Honduras,3,1,Friendly,Cochabamba,Bolivia,False,1993,[59],[41]
17403,1993-01-30,India,Cameroon,2,2,Nehru Cup,Madras,India,False,1993,[129],[24]
17404,1993-01-30,Peru,Belarus,1,1,Friendly,Lima,Peru,False,1993,[70],[130]
17405,1993-01-30,Senegal,Mozambique,6,1,FIFA World Cup qualification,Dakar,Senegal,False,1993,[58],[100]
17406,1993-01-30,United States,Denmark,2,2,Friendly,Tempe,United States,False,1993,[],[10]
17407,1993-01-30,Zambia,Namibia,4,0,FIFA World Cup qualification,Lusaka,Zambia,False,1993,[25],[155]
17408,1993-01-31,Congo,South Africa,0,1,FIFA World Cup qualification,Pointe-Noire,Congo,False,1993,[107],[109]
17409,1993-01-31,Ecuador,Romania,3,0,Friendly,Guayaquil,Ecuador,False,1993,[35],[21]
17410,1993-01-31,Egypt,Togo,3,0,FIFA World Cup qualification,Cairo,Egypt,False,1993,[26],[114]
17411,1993-01-31,Ghana,Burundi,1,0,FIFA World Cup qualification,Kumasi,Ghana,False,1993,[48],[96]
17412,1993-01-31,Ivory Coast,Niger,1,0,FIFA World Cup qualification,Abidjan,Ivory Coast,False,1993,[],[77]
17413,1993-01-31,North Korea,Finland,3,2,Nehru Cup,Madras,India,True,1993,[],[47]
17414,1993-01-31,Morocco,Benin,5,0,FIFA World Cup qualification,Rabat,Morocco,False,1993,[33],[124]
17415,1993-01-31,Tunisia,Ethiopia,3,0,FIFA World Cup qualification,Tunis,Tunisia,False,1993,[31],[95]
17416,1993-01-31,Zimbabwe,Angola,2,1,FIFA World Cup qualification,Harare,Zimbabwe,False,1993,[50],[93]
17417,1993-02-01,Cyprus,Poland,0,0,Friendly,Nicosia,Cyprus,False,1993,[72],[20]
17418,1993-02-03,Israel,Poland,0,0,Friendly,Ramat-Gan,Israel,False,1993,[69],[20]
17419,1993-02-03,Peru,Romania,0,2,Friendly,Lima,Peru,False,1993,[70],[21]
17420,1993-02-05,Malaysia,Singapore,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False,1993,[75],[73]
17421,1993-02-06,Ghana,Indonesia,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1993,[48],[98]
17422,1993-02-06,United States,Romania,1,1,Friendly,Santa Barbara,United States,False,1993,[],[21]
17423,1993-02-07,Malaysia,Thailand,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False,1993,[75],[66]
17424,1993-02-08,South Korea,Indonesia,3,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1993,[],[98]
17425,1993-02-09,Singapore,Thailand,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1993,[73],[66]
17426,1993-02-10,Ghana,South Korea,1,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1993,[48],[]
17427,1993-02-10,Mexico,Romania,0,2,Friendly,Monterrey,Mexico,False,1993,[14],[21]
17428,1993-02-10,Portugal,Norway,1,1,Friendly,Faro,Portugal,False,1993,[23],[9]
17429,1993-02-10,Thailand,China PR,1,0,King's Cup,Bangkok,Thailand,False,1993,[66],[45]
17430,1993-02-13,Cyprus,Belgium,0,3,FIFA World Cup qualification,Nicosia,Cyprus,False,1993,[72],[18]
17431,1993-02-13,United States,Russia,0,1,Friendly,Orlando,United States,False,1993,[],[7]
17432,1993-02-14,Malaysia,South Korea,3,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False,1993,[75],[]
17433,1993-02-16,Costa Rica,Nicaragua,6,0,UNCAF Cup,San José,Costa Rica,False,1993,[39],[150]
17434,1993-02-16,Thailand,China PR,0,4,King's Cup,Bangkok,Thailand,False,1993,[66],[45]
17435,1993-02-17,Albania,Northern Ireland,1,2,FIFA World Cup qualification,Tirana,Albania,False,1993,[92],[40]
17436,1993-02-17,El Salvador,Russia,1,2,Friendly,Pasadena,United States,True,1993,[62],[7]
17437,1993-02-17,England,San Marino,6,0,FIFA World Cup qualification,London,England,False,1993,[11],[119]
17438,1993-02-17,Greece,Luxembourg,2,0,FIFA World Cup qualification,Athens,Greece,False,1993,[32],[110]
17439,1993-02-17,Republic of Ireland,Wales,2,1,Friendly,Dublin,Republic of Ireland,False,1993,[6],[27]
17440,1993-02-17,Israel,France,0,4,FIFA World Cup qualification,Ramat-Gan,Israel,False,1993,[69],[12]
17441,1993-02-17,Scotland,Malta,3,0,FIFA World Cup qualification,Glasgow,Scotland,False,1993,[30],[82]
17442,1993-02-18,Argentina,Brazil,1,1,Friendly,Buenos Aires,Argentina,False,1993,[5],[8]
17443,1993-02-18,United Arab Emirates,Bulgaria,1,0,Friendly,Dubai,United Arab Emirates,False,1993,[55],[37]
17444,1993-02-19,Costa Rica,Nicaragua,2,0,UNCAF Cup,San José,Costa Rica,False,1993,[39],[150]
17445,1993-02-20,Finland,Estonia,0,0,Friendly,Vantaa,Finland,False,1993,[47],[118]
17446,1993-02-20,Latvia,Lithuania,1,2,Friendly,Vantaa,Finland,True,1993,[89],[84]
17447,1993-02-20,United Arab Emirates,Bulgaria,1,3,Friendly,Dubai,United Arab Emirates,False,1993,[55],[37]
17448,1993-02-21,Estonia,Latvia,0,2,Friendly,Vantaa,Finland,True,1993,[118],[89]
17449,1993-02-21,Finland,Lithuania,3,0,Friendly,Vantaa,Finland,False,1993,[47],[84]
17450,1993-02-21,United States,Russia,0,0,Friendly,Palo Alto,United States,False,1993,[],[7]
17451,1993-02-24,Argentina,Denmark,1,1,Friendly,Mar del Plata,Argentina,False,1993,[5],[10]
17452,1993-02-24,Kuwait,China PR,1,0,Friendly,Kuwait City,Kuwait,False,1993,[60],[45]
17453,1993-02-24,Netherlands,Turkey,3,1,FIFA World Cup qualification,Utrecht,Netherlands,False,1993,[16],[63]
17454,1993-02-24,Portugal,Italy,1,3,FIFA World Cup qualification,Porto,Portugal,False,1993,[23],[2]
17455,1993-02-24,Spain,Lithuania,5,0,FIFA World Cup qualification,Seville,Spain,False,1993,[13],[84]
17456,1993-02-24,Venezuela,Colombia,0,0,Friendly,San Cristóbal,Venezuela,False,1993,[94],[19]
17457,1993-02-26,Algeria,Ghana,2,1,FIFA World Cup qualification,Tlemcen,Algeria,False,1993,[34],[48]
17458,1993-02-27,Kenya,Guinea,2,0,FIFA World Cup qualification,Nairobi,Kenya,False,1993,[88],[65]
17459,1993-02-27,Nigeria,Congo,2,0,FIFA World Cup qualification,Enugu,Nigeria,False,1993,[17],[107]
17460,1993-02-27,Senegal,Gabon,1,0,FIFA World Cup qualification,Dakar,Senegal,False,1993,[58],[64]
17461,1993-02-28,Benin,Ethiopia,1,0,FIFA World Cup qualification,Cotonou,Benin,False,1993,[124],[95]
17462,1993-02-28,Morocco,Tunisia,0,0,FIFA World Cup qualification,Casablanca,Morocco,False,1993,[33],[31]
17463,1993-02-28,Niger,Botswana,2,1,FIFA World Cup qualification,Niamey,Niger,False,1993,[77],[135]
17464,1993-02-28,Togo,Angola,0,1,FIFA World Cup qualification,Lomé,Togo,False,1993,[114],[93]
17465,1993-02-28,Zambia,Madagascar,3,1,FIFA World Cup qualification,Lusaka,Zambia,False,1993,[25],[81]
17466,1993-03-01,Cameroon,DR Congo,0,0,FIFA World Cup qualification,Yaoundé,Cameroon,False,1993,[24],[]
17467,1993-03-02,Jordan,Syria,1,1,Friendly,Irbid,Jordan,False,1993,[87],[78]
17468,1993-03-03,Martinique,French Guiana,2,1,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False,1993,[],[]
17469,1993-03-03,Paraguay,Bolivia,1,0,Copa Paz del Chaco,Asunción,Paraguay,False,1993,[67],[59]
17470,1993-03-05,El Salvador,Costa Rica,0,1,UNCAF Cup,Tegucigalpa,Honduras,True,1993,[62],[39]
17471,1993-03-05,Honduras,Panama,2,0,UNCAF Cup,Tegucigalpa,Honduras,False,1993,[41],[125]
17472,1993-03-07,El Salvador,Panama,1,1,UNCAF Cup,Tegucigalpa,Honduras,True,1993,[62],[125]
17473,1993-03-07,Honduras,Costa Rica,2,0,UNCAF Cup,Tegucigalpa,Honduras,False,1993,[41],[39]
17474,1993-03-07,Japan,Hungary,0,1,Kirin Cup,Fukuoka,Japan,False,1993,[43],[42]
17475,1993-03-09,Canada,South Korea,0,2,Friendly,Coquitlam,Canada,False,1993,[46],[]
17476,1993-03-09,Costa Rica,Panama,2,0,UNCAF Cup,Tegucigalpa,Honduras,True,1993,[39],[125]
17477,1993-03-09,Honduras,El Salvador,3,0,UNCAF Cup,Tegucigalpa,Honduras,False,1993,[41],[62]
17478,1993-03-10,Austria,Greece,2,1,Friendly,Vienna,Austria,False,1993,[38],[32]
17479,1993-03-10,Hungary,United States,0,0,Kirin Cup,Nagoya,Japan,True,1993,[42],[]
17480,1993-03-10,San Marino,Turkey,0,0,FIFA World Cup qualification,Serravalle,San Marino,False,1993,[119],[63]
17481,1993-03-11,Canada,South Korea,2,0,Friendly,Victoria,Canada,False,1993,[46],[]
17482,1993-03-11,Guyana,Cayman Islands,3,2,CFU Caribbean Cup qualification,Georgetown,Guyana,False,1993,[134],[156]
17483,1993-03-11,Puerto Rico,Barbados,1,0,CFU Caribbean Cup qualification,Georgetown,Guyana,True,1993,[101],[105]
17484,1993-03-12,Cayman Islands,Barbados,1,6,CFU Caribbean Cup qualification,Georgetown,Guyana,True,1993,[156],[105]
17485,1993-03-12,El Salvador,Bolivia,2,2,Friendly,San Salvador,El Salvador,False,1993,[62],[59]
17486,1993-03-12,Guyana,Puerto Rico,0,2,CFU Caribbean Cup qualification,Georgetown,Guyana,False,1993,[134],[101]
17487,1993-03-12,Qatar,Jordan,1,2,Friendly,Doha,Qatar,False,1993,[51],[87]
17488,1993-03-14,Guyana,Barbados,0,3,CFU Caribbean Cup qualification,Georgetown,Guyana,False,1993,[134],[105]
17489,1993-03-14,Honduras,Bolivia,0,0,Friendly,San Pedro Sula,Honduras,False,1993,[41],[59]
17490,1993-03-14,Japan,United States,3,1,Kirin Cup,Tokyo,Japan,False,1993,[43],[]
17491,1993-03-14,Puerto Rico,Cayman Islands,4,0,CFU Caribbean Cup qualification,Georgetown,Guyana,True,1993,[101],[156]
17492,1993-03-16,Honduras,Bolivia,0,0,Friendly,Tegucigalpa,Honduras,False,1993,[41],[59]
17493,1993-03-16,Kuwait,Syria,2,1,Friendly,Kuwait City,Kuwait,False,1993,[60],[78]
17494,1993-03-17,Brazil,Poland,2,2,Friendly,Ribeirão Preto,Brazil,False,1993,[8],[20]
17495,1993-03-17,Tunisia,Switzerland,0,1,Friendly,Tunis,Tunisia,False,1993,[31],[3]
17496,1993-03-23,El Salvador,United States,2,2,Friendly,San Salvador,El Salvador,False,1993,[62],[]
17497,1993-03-24,Costa Rica,Canada,0,1,Friendly,San José,Costa Rica,False,1993,[39],[46]
17498,1993-03-24,Cyprus,Czech Republic,1,1,FIFA World Cup qualification,Limassol,Cyprus,False,1993,[72],[]
17499,1993-03-24,French Guiana,Guadeloupe,2,1,CFU Caribbean Cup qualification,Cayenne,French Guiana,False,1993,[],[]
17500,1993-03-24,Israel,Russia,2,2,Friendly,Haifa,Israel,False,1993,[69],[7]
17501,1993-03-24,Italy,Malta,6,1,FIFA World Cup qualification,Palermo,Italy,False,1993,[2],[82]
17502,1993-03-24,Netherlands,San Marino,6,0,FIFA World Cup qualification,Utrecht,Netherlands,False,1993,[16],[119]
17503,1993-03-24,Scotland,Germany,0,1,Friendly,Glasgow,Scotland,False,1993,[30],[1]
17504,1993-03-25,Honduras,United States,4,1,Friendly,Tegucigalpa,Honduras,False,1993,[41],[]
17505,1993-03-26,Lebanon,Jordan,1,0,Friendly,Beirut,Lebanon,False,1993,[108],[87]
17506,1993-03-27,Austria,France,0,1,FIFA World Cup qualification,Vienna,Austria,False,1993,[38],[12]
17507,1993-03-27,Malawi,Zambia,1,0,Friendly,Lilongwe,Malawi,False,1993,[68],[25]
17508,1993-03-30,Qatar,Norway,1,6,Friendly,Doha,Qatar,False,1993,[51],[9]
17509,1993-03-30,Slovakia,Lithuania,2,2,Friendly,Dunajská Streda,Slovakia,False,1993,[],[84]
17510,1993-03-31,Chile,Bolivia,2,1,Friendly,Arica,Chile,False,1993,[49],[59]
17511,1993-03-31,Colombia,Costa Rica,4,1,Friendly,Medellín,Colombia,False,1993,[19],[39]
17512,1993-03-31,Denmark,Spain,1,0,FIFA World Cup qualification,Copenhagen,Denmark,False,1993,[10],[13]
17513,1993-03-31,Hungary,Greece,0,1,FIFA World Cup qualification,Budapest,Hungary,False,1993,[42],[32]
17514,1993-03-31,Republic of Ireland,Northern Ireland,3,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,1993,[6],[40]
17515,1993-03-31,Poland,Lithuania,1,1,Friendly,Brzeszcze,Poland,False,1993,[20],[84]
17516,1993-03-31,Switzerland,Portugal,1,1,FIFA World Cup qualification,Berne,Switzerland,False,1993,[3],[23]
17517,1993-03-31,Turkey,England,0,2,FIFA World Cup qualification,Izmir,Turkey,False,1993,[63],[11]
17518,1993-03-31,Wales,Belgium,2,0,FIFA World Cup qualification,Cardiff,Wales,False,1993,[27],[18]
17519,1993-04-02,Malaysia,United Arab Emirates,0,1,Friendly,Kuala Lumpur,Malaysia,False,1993,[75],[55]
17520,1993-04-02,Saint Kitts and Nevis,British Virgin Islands,5,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False,1993,[],[]
17521,1993-04-03,Niger,Benin,2,2,Friendly,Niamey,Niger,False,1993,[77],[124]
17522,1993-04-04,Anguilla,Antigua and Barbuda,0,4,CFU Caribbean Cup qualification,The Valley,Anguilla,False,1993,[],[127]
17523,1993-04-04,Dominican Republic,British Virgin Islands,3,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True,1993,[148],[]
17524,1993-04-04,El Salvador,Mexico,2,1,FIFA World Cup qualification,San Salvador,El Salvador,False,1993,[62],[14]
17525,1993-04-04,Honduras,Canada,2,2,FIFA World Cup qualification,Tegucigalpa,Honduras,False,1993,[41],[46]
17526,1993-04-04,Kuwait,Egypt,1,3,Friendly,Kuwait City,Kuwait,False,1993,[60],[26]
17527,1993-04-05,Antigua and Barbuda,Sint Maarten,0,2,CFU Caribbean Cup qualification,The Valley,Anguilla,True,1993,[127],[]
17528,1993-04-06,Anguilla,Sint Maarten,0,1,CFU Caribbean Cup qualification,The Valley,Anguilla,False,1993,[],[]
